_RAJ2000 deg,_DEJ2000 deg,SpTypeFull,Sp,Tc,Lc,[Fe/H] sun,age Gyr,Npl,B-V mag,Kmag mag,Lum Lsun,Name
295.621739,-45.31555173,K1III                     ,K1,61,3,     ,    , ,1.066,      ,         ,
295.6240029,1.586525367,G5 V                      ,G5,55,5,0.06,8.2, ,0.664,3.02,1.4,
295.6281789,36.21455007,K7                        ,K7,67, ,     ,    , ,1.43,      ,         ,
295.6297228,-16.12399343,F0IV                      ,F0,40,4,-0.2,    , ,0.319,0.6,23.13,55 e2 Sagittarii HR 7489
295.6299124,24.81646318,F0                        ,F0,40, ,     ,    , ,0.217,      ,         ,
295.6347465,-68.30932374,G0V                       ,G0,50,5,     ,    , ,0.597,2.8,1.65,
295.6352481,64.69525732,G0                        ,G0,50, ,     ,    , ,0.401,1.65,6.44,
295.6359494,26.16468466,A0                        ,A0,30, ,     ,    , ,0.125,      ,         ,
295.6389787,-59.00987423,G3IV                      ,G3,53,4,0.05,11.1, ,0.711,2.69,1.7,
295.6395083,-50.66759714,K1/2 III                  ,K1,61,3,     ,    , ,1.248,-2.58,124.16,
295.6417078,11.82658302,G2Ib                      ,G2,52,1,-0.39,    , ,0.575,-3.45,452.37,47 chi Aquilae HR 7497
295.6427162,40.02654223,A0                        ,A0,30, ,     ,    , ,0.037,0.95,37.86,
295.6425206,16.44362002,A5                        ,A5,35, ,     ,    , ,0.323,      ,         ,
295.6427945,-5.645987245,G6/8 V                    ,G6,56,5,     ,    , ,0.622,3.49,0.82,
295.644239,20.30216084,B9                        ,B9,29, ,     ,    , ,0.037,      ,         ,
295.6444226,4.953858421,B5IV                      ,B5,25,4,     ,    , ,-0.03,      ,         ,
295.6464876,64.03009375,B8V                       ,B8,28,5,     ,    , ,0.03,      ,         ,
295.647675,-32.23932282,F6/7 V                    ,F6,46,5,     ,    , ,0.517,2.35,3.05,
295.6507221,-2.584120063,M0 III                  ,M0,70,3,     ,    , ,1.77,      ,         ,
295.6509984,28.34816321,F2.  II                   ,F2,42,2,     ,    , ,0.54,0.58,15.87,
295.6546947,-24.37949326,F0 V                      ,F0,40,5,     ,    , ,0.392,      ,         ,
295.6559546,-72.21357688,G5III CNV                 ,G5,55,3,     ,    , ,0.994,      ,         ,
295.6577121,9.227512094,B2Vp                      ,B2,22,5,     ,    , ,0.052,      ,         ,
295.6582661,-41.72372228,G8 III                    ,G8,58,3,     ,    , ,1.14,      ,         ,
295.6603172,-25.68332586,G8 III                    ,G8,58,3,     ,    , ,0.967,      ,         ,
295.6663774,-30.65691467,F3 V                      ,F3,43,5,     ,    , ,0.481,      ,         ,
295.6726485,-46.04721097,A5 IV                     ,A5,35,4,     ,    , ,0.225,1.6,11.83,
295.6812502,-69.37281763,                          ,  ,, ,     ,    , ,      ,      ,         ,
295.6811664,16.20230514,K0                        ,K0,60, ,     ,    , ,1.039,      ,         ,
295.6839157,8.380369447,G0V                       ,G0,50,5,0.17,8.1, ,0.717,      ,         ,
295.6858586,32.42674305,A6III                     ,A6,36,3,-0.2,    , ,0.118,-3.41,1214.9,HR 7502
295.6876801,-43.07532125,K2 III                    ,K2,62,3,     ,    , ,1.304,      ,         ,
295.691148,8.382761542,F8V                       ,F8,48,5,0.14,2.1, ,0.503,      ,6.65,
295.6925676,-6.473760728,K2/3 III                ,K2,62,3,     ,    , ,1.16,      ,         ,
295.6968636,21.09791677,G5                        ,G5,55, ,-0.19,    , ,0.768,3.29,1.02,
295.69823,47.20893237,G5                        ,G5,55, ,     ,    , ,1.021,-3.42,344.08,
295.6991866,-20.1958355,S3*4                      ,S3,103, ,     ,    , ,1.659,      ,         ,
295.7011464,17.96826748,B2.5V                     ,B2,22,5,     ,    , ,0.052,      ,         ,
295.701858,22.85163178,K0                        ,K0,60, ,     ,    , ,1.057,-1.56,56.22,
295.702315,37.68682917,K2                        ,K2,62, ,     ,    , ,1.352,      ,         ,
295.7035904,-48.20261832,F2 V                      ,F2,42,5,     ,    , ,0.384,      ,         ,
295.7046328,29.33176457,F1III                     ,F1,41,3,0.23,1.1, ,0.337,1.06,14.55,HR 7501
295.7055625,55.02684713,M2                        ,M2,72, ,     ,    , ,1.622,      ,         ,
295.7067694,23.46330406,B2                        ,B2,22, ,     ,    , ,0.656,      ,         ,
295.7077214,48.43549348,B9                        ,B9,29, ,     ,    , ,-0.09,      ,         ,
295.7080278,42.65009546,B9V                       ,B9,29,5,     ,    , ,0.007,      ,         ,
295.7089763,1.531261736,K1 III                    ,K1,61,3,     ,    , ,1.438,      ,         ,
295.7104753,-18.19900136,F3/5 V                    ,F3,43,5,     ,    , ,0.492,2.48,3.17,
295.7132639,35.75016603,K0                        ,K0,60, ,     ,    , ,1.16,      ,         ,
295.7156656,6.185773304,B9                        ,B9,29, ,     ,    , ,0.078,      ,         ,
295.7205024,37.67818005,F3.  IB                   ,F3,43,1,     ,    , ,0.53,      ,         ,
295.7197961,-45.08142727,M1                        ,M1,71, ,     ,    , ,1.347,4.29,0.13,Gliese 4119
295.7257425,17.50876668,B5Vn                      ,B5,25,5,     ,    , ,0.09,      ,         ,
295.7316976,-37.43983778,F0 V                      ,F0,40,5,-0.26,1.9, ,0.394,1.62,8.45,
295.7344145,40.72174027,B9V                       ,B9,29,5,     ,    , ,-0.02,0.88,50.86,
295.734689,28.36755057,K5V                       ,K5,65,5,     ,    , ,1.206,      ,         ,
295.7400922,23.19293213,G2V                       ,G2,52,5,     ,    , ,0.63,2.08,3.3,
295.7429414,-21.48308661,K0 IIICNII                ,K0,60,3,     ,    , ,1.193,      ,         ,
295.7439158,-45.04976192,G0                        ,G0,50, ,     ,    , ,0.656,3.98,0.56,
295.7464007,27.40850312,K2II-III                  ,K2,62,2,0.1,    , ,1.15,-2.12,87.28,
295.747186,-35.98193229,G8 IV                     ,G8,58,4,     ,    , ,0.947,0.84,7.46,
295.7501668,-75.39761941,G0V                       ,G0,50,5,-0.04,3.4, ,0.55,2.02,3.96,
295.7520603,34.42195298,A0                        ,A0,30, ,     ,    , ,-0.013,      ,         ,
295.7556141,-62.0488093,F7V                       ,F7,47,5,     ,    , ,0.544,      ,         ,
295.7589467,35.46041069,A0                        ,A0,30, ,     ,    , ,-0.07,      ,         ,
295.7603434,27.94341855,F8V                       ,F8,48,5,     ,    , ,0.54,2.26,3.21,
295.7609137,-14.2320076,K5 III                    ,K5,65,3,     ,    , ,1.691,      ,         ,
295.7627455,-49.58187329,F7 V                      ,F7,47,5,     ,    , ,0.557,2.67,2.32,
295.763019,4.363630513,B9                        ,B9,29, ,     ,    , ,0.068,      ,         ,
295.7636673,-8.307396505,F3 IV/V                   ,F3,43,4,-0.08,1.6, ,0.405,1.83,6.79,
295.7681667,61.60751326,G5                        ,G5,55, ,     ,    , ,1.008,      ,         ,
295.7687209,39.99712199,F0IV                      ,F0,40,4,     ,    , ,0.308,1.93,6.81,
295.7693679,22.30218641,A2                        ,A2,32, ,     ,    , ,0.212,1.64,12.07,
295.7731075,20.17196151,F5                        ,F5,45, ,     ,    , ,0.466,      ,         ,
295.7750561,-49.03994715,G3 V                      ,G3,53,5,     ,    , ,0.543,4.11,0.54,
295.7789076,-8.329632654,F5 IV/V                   ,F5,45,4,-0.01,3, ,0.501,2.09,4.1,
295.7792896,24.59794186,F8V                       ,F8,48,5,-0.35,7.5, ,0.567,2.16,3.35,
295.7801447,-73.24882233,G5V                       ,G5,55,5,-0.2,13.9, ,0.655,2.92,1.46,
295.7797386,26.93188181,F0III                     ,F0,40,3,0.37,    , ,0.387,2.18,4.98,
295.7812358,-11.151312,K1/2 V                    ,K1,61,5,     ,    , ,1.64,      ,         ,
295.7851924,-71.87335312,K4/5III                   ,K4,64,3,     ,    , ,1.613,      ,         ,
295.7899903,30.67789104,A1V                       ,A1,31,5,     ,    , ,0.003,0.81,44.98,HR 7505
295.7948637,38.67171226,K0                        ,K0,60, ,     ,    , ,1.22,-4.19,632.23,
295.7982126,-10.67977501,G3 V                      ,G3,53,5,-0.34,1.3, ,0.591,3.26,1.23,
295.801095,-19.11211586,K3 III                    ,K3,63,3,     ,    , ,1.667,      ,         ,
295.8068302,-56.26026716,M5/6III                   ,M5,75,3,     ,    , ,1.254,-5.49,50.53,
295.8100813,58.01661717,G0V                       ,G0,50,5,0.17,3.9, ,0.59,1.68,5.44,Gliese 765.3 HR 7522
295.8119776,72.36257166,A0                        ,A0,30, ,     ,    , ,0.083,1.31,21,
295.8129399,30.23236348,A0                        ,A0,30, ,     ,    , ,0.073,0.15,59.8,
295.8181573,9.497207219,K3II                      ,K3,63,2,     ,    , ,1.399,-2.14,59.55,
295.8202874,52.56114482,A3                        ,A3,33, ,     ,    , ,0.156,0.05,53.18,
295.8244908,-42.78270604,F3 V                      ,F3,43,5,     ,    , ,0.442,      ,         ,
295.8255656,69.34733164,K0                        ,K0,60, ,     ,    , ,1.06,-1.16,37.33,
295.829571,-44.39724952,K0 III                    ,K0,60,3,     ,    , ,1,      ,         ,
295.8347691,69.48906611,F0...                     ,F0,40, ,     ,    , ,0.381,2.45,5.57,
295.8337685,-69.43749766,F5V                       ,F5,45,5,     ,    , ,0.502,2.81,2.13,
295.8336657,30.93431933,K3III                     ,K3,63,3,     ,    , ,1.595,      ,         ,
295.8378534,4.174404909,F0 IV                     ,F0,40,4,     ,    , ,0.422,0.97,13.35,
295.8436834,47.24471112,B0V                       ,B0,20,5,     ,    , ,-0.19,      ,         ,
295.8452261,-74.76913784,K2/3III                   ,K2,62,3,     ,    , ,1.302,      ,         ,
295.8475243,-48.20434539,K0 III                    ,K0,60,3,     ,    , ,1.012,      ,         ,
295.8471911,23.39097767,K7                        ,K7,67, ,     ,    , ,1.9,5.24,         ,
295.852328,56.42615033,A0                        ,A0,30, ,     ,    , ,0.026,1.9,15.07,
295.8543434,22.49498773,B5   V                    ,B5,25,5,     ,    , ,-0.085,-0.16,202.17,
295.8555706,10.0895118,M0V                       ,M0,70,5,     ,    , ,1.26,5.03,0.09,Gliese 9667
295.8605521,-50.17773282,K0 III                    ,K0,60,3,     ,    , ,1.134,-0.41,18.14,
295.8652887,-61.61828304,F6IV                      ,F6,46,4,0.04,2.2, ,0.475,1.88,5.61,
295.8689437,35.07440878,M4                        ,M4,74, ,     ,    , ,1.625,      ,         ,
295.870316,-32.52187515,K3 III                    ,K3,63,3,     ,    , ,1.571,      ,         ,
295.8703388,11.55902968,F5                        ,F5,45, ,     ,    , ,0.576,      ,         ,
295.8724444,23.17795468,F9Ib                      ,F9,49,1,     ,    , ,1.184,      ,         ,
295.8753569,6.481488893,B3V                       ,B3,23,5,     ,    , ,-0.04,      ,         ,
295.8769636,0.675675656,B3/5 V                    ,B3,23,5,     ,    , ,0.086,      ,         ,
295.8776737,-50.94548193,K2 III                    ,K2,62,3,     ,    , ,1.337,      ,         ,
295.8818211,14.28291436,A5                        ,A5,35, ,     ,    , ,0.507,      ,         ,
295.8823983,-41.10031911,F0 V                      ,F0,40,5,     ,    , ,0.409,      ,         ,
295.88975,-15.47009899,F6IV-V                    ,F6,46,4,0.02,1.6, ,0.46,0.95,12.65,HR 7496
295.8909861,-66.96040673,F0IV                      ,F0,40,4,-0.16,1.5, ,0.385,1.17,12.27,
295.8922377,-9.067243929,A0 III                    ,A0,30,3,     ,    , ,0.416,      ,         ,
295.903658,-38.87509511,A1 V                      ,A1,31,5,     ,    , ,0.121,      ,         ,
295.9067445,-37.53876382,B8 IV/V                   ,B8,28,4,     ,    , ,0.019,-0.42,126.63,HR 7491
295.9073638,48.77815009,M2:Ibe                    ,M2,72,1,     ,    , ,1.27,      ,         ,RT Cygni
295.9132569,66.54530479,G5                        ,G5,55, ,     ,    , ,1.048,      ,         ,
295.91457,57.04271476,G8III                     ,G8,58,3,     ,    , ,0.887,-0.13,20.31,HR 7526
295.9150927,48.92883585,F5                        ,F5,45, ,-0.05,1.7, ,0.422,2.12,4.94,
295.915353,25.2692079,K0                        ,K0,60, ,     ,    , ,1.008,      ,         ,
295.9198914,-46.65549836,G8/K0 III                 ,G8,58,3,     ,    , ,1.072,      ,         ,
295.9202203,75.32907874,K0                        ,K0,60, ,     ,    , ,0.903,-1.4,56.5,
295.9267111,0.013658734,A0 V                      ,A0,30,5,     ,    , ,0.221,      ,         ,
295.9285871,-44.13368742,K1/2 III                  ,K1,61,3,     ,    , ,1.23,-1.53,54.59,
295.9288558,25.77191401,G8III                     ,G8,58,3,0.01,    , ,0.939,-1.67,74.05,10 Vulpeculae HR 7506
295.9296082,51.06683191,M0                        ,M0,70, ,     ,    , ,1.612,      ,         ,
295.9302139,79.5398831,A0                        ,A0,30, ,     ,    , ,0.076,1.07,28.77,
295.930815,-38.90584669,K1 III                    ,K1,61,3,     ,    , ,1.107,      ,         ,
295.9379008,41.77310881,M0 IIIab                 ,M0,70,3,0,    , ,1.598,-4.29,463.21,HR 7514
295.9422564,-1.959102049,G8 III                    ,G8,58,3,     ,    , ,1.107,      ,         ,
295.9462217,38.32235128,B6V                       ,B6,26,5,     ,    , ,-0.112,      ,         ,
295.9528391,-58.51628015,K0II/III                  ,K0,60,2,     ,    , ,1.069,      ,         ,
295.9535563,14.9301137,K0                        ,K0,60, ,     ,    , ,1.04,      ,         ,
295.9535734,52.61085456,kA2hA6mF2                 ,,, ,     ,    , ,0.284,2.04,6.47,
295.9643866,34.1627243,B8III                     ,B8,28,3,     ,    , ,-0.071,-1.42,553.22,HR 7512
295.9693062,-35.2534907,G3 V                      ,G3,53,5,-0.11,4.2, ,0.679,3.43,0.88,
295.9708213,77.53366216,K0                        ,K0,60, ,     ,    , ,0.97,0.18,11.86,
295.9749654,20.70239492,K0                        ,K0,60, ,     ,    , ,1.15,      ,         ,
295.9832205,27.13539049,K0                        ,K0,60, ,     ,    , ,1.015,      ,         ,HR 7508
295.9841921,31.87405899,A5                        ,A5,35, ,     ,    , ,0.417,1.87,5.8,
295.9865022,-48.58123505,K1 III                  ,K1,61,3,-0.27,    , ,0.972,3.76,0.53,
295.985937,49.78335632,K0                        ,K0,60, ,     ,    , ,1.382,-3.23,203.06,
295.988916,-66.9474397,F3V                       ,F3,43,5,     ,    , ,0.415,1.76,6.33,
295.9876285,-66.29408665,G                         ,,, ,     ,    , ,1.025,      ,         ,
295.9948696,-40.43661925,K1 III                    ,K1,61,3,     ,    , ,1.07,      ,         ,
295.9955628,59.09522493,G5                        ,G5,55, ,     ,    , ,0.923,      ,         ,
295.9998908,-66.29753365,G1V                       ,G1,51,5,0.03,5.7, ,0.641,1.88,3.86,
296.0043194,38.00693995,A2                        ,A2,32, ,     ,    , ,0.104,0.98,27.28,
296.0074923,9.517625288,G5Ib                      ,G5,55,1,     ,    , ,1.26,      ,         ,
296.0132124,27.72080319,G8III                     ,G8,58,3,     ,    , ,1.165,      ,         ,
296.0176962,37.93259165,B 9 V                     ,,29,5,     ,    , ,-0.03,      ,         ,
296.0178608,-34.7402148,G wl                      ,,, ,     ,    , ,1.33,      ,         ,
296.0182985,3.507713851,G3 V                      ,G3,53,5,-0.02,6.8, ,0.625,2.56,2.29,
296.0191568,50.89937186,A0                        ,A0,30, ,     ,    , ,-0.026,0.97,48.22,
296.0206811,-2.006150899,B9 II/III                 ,B9,29,2,     ,    , ,0.056,      ,         ,
296.0254043,12.37251291,A2Vn                      ,A2,32,5,     ,    , ,0.122,      ,         ,
296.025722,-35.08817471,G8 IV                     ,G8,58,4,     ,    , ,1.099,      ,         ,
296.0283386,25.01470001,F5                        ,F5,45, ,     ,    , ,0.435,3.14,1.76,
296.0318802,-35.65573545,G5 V                      ,G5,55,5,     ,    , ,0.697,2.93,1.42,
296.0362021,-39.42464419,F3/5 V                    ,F3,43,5,     ,    , ,0.429,      ,         ,
296.042134,-26.54329618,K4Ve                    ,K4,64,5,     ,    , ,      ,      ,         ,
296.0508421,53.99864918,M0                        ,M0,70, ,     ,    , ,1.599,      ,         ,
296.0551699,54.01097259,K                         ,,, ,     ,    , ,1.008,      ,         ,
296.0641909,-62.87980679,G3V                       ,G3,53,5,     ,    , ,0.657,3.56,0.79,
296.0660591,7.58822251,B6V                       ,B6,26,5,     ,    , ,0.051,      ,         ,
296.0691868,37.35435565,G8III                     ,G8,58,3,-0.03,    , ,0.948,-2.1,99.97,15 Cygni HR 7517
296.071358,-74.45577072,F2IV                      ,F2,42,4,-0.04,1.6, ,0.381,1.24,10.93,
296.0738086,60.68415034,A3                        ,A3,33, ,     ,    , ,-0.048,      ,         ,
296.0767126,2.267481481,A0                        ,A0,30, ,     ,    , ,0.175,      ,         ,
296.0767373,69.33706426,A2III                     ,A2,32,3,-0.05,    , ,0.072,0.11,66.44,HR 7545
296.079516,-60.45100107,F3V                       ,F3,43,5,     ,    , ,0.443,      ,         ,
296.0947828,39.28884508,F2II                      ,F2,42,2,     ,    , ,0.39,0.52,20.24,
296.0989016,-26.94921649,G8 V                      ,G8,58,5,0.25,16.4, ,0.79,2.93,1.43,
296.1006323,53.14700665,K2                        ,K2,62, ,     ,    , ,1.277,-0.84,26.09,
296.1043544,-33.99975184,F2 V                      ,F2,42,5,     ,    , ,0.403,2.47,2.93,
296.1075165,-56.27125952,K5III                     ,K5,65,3,     ,    , ,1.546,-2.5,86.66,
296.1086404,-47.56532412,F5 V                      ,F5,45,5,     ,    , ,0.381,      ,         ,
296.1129691,-20.78781633,G8 III/IV                 ,G8,58,3,     ,    , ,1,      ,         ,
296.1155333,-41.60913238,K2/3 III                  ,K2,62,3,     ,    , ,1.286,-3.06,172.37,
296.1161663,7.960869401,F6III                     ,F6,46,3,-0.2,2.3, ,0.401,2.06,4.97,
296.1192941,-37.84454387,A5 V                      ,A5,35,5,     ,    , ,0.213,      ,         ,
296.1283863,-17.40045704,A2 IV                     ,A2,32,4,     ,    , ,0.215,1.76,9.43,
296.1314656,18.58864643,M2III                     ,M2,72,3,     ,    , ,1.676,      ,         ,
296.1318575,4.979512534,K5                        ,K5,65, ,     ,    , ,1.569,      ,         ,
296.1345263,-41.11529509,F7 V                      ,F7,47,5,     ,    , ,0.6,      ,         ,
296.1360195,-22.85577758,F3 II/III                 ,F3,43,2,0.18,1.2, ,0.445,0.57,17.26,
296.1424664,13.30278323,B9III-IV                  ,B9,29,3,     ,    , ,-0.041,-1.16,341.31,48 Psi Aquilae HR 7511
296.1437065,-62.9779378,M2III                     ,M2,72,3,     ,    , ,1.708,      ,         ,
296.1492375,13.23034065,K5                        ,K5,65, ,     ,    , ,1.659,      ,         ,
296.1590554,34.41416286,M1III                     ,M1,71,3,     ,    , ,1.521,-6.4,623.79,HR 7520
296.1691003,-23.26416682,K4 III                    ,K4,64,3,     ,    , ,1.528,      ,         ,
296.1720838,8.726532042,G8III                     ,G8,58,3,     ,    , ,0.94,-1.53,66.02,
296.1729495,10.91252801,A3                        ,A3,33, ,     ,    , ,0.146,2,9.61,
296.17647,-44.71383539,K7                        ,K7,67, ,     ,    , ,1.049,4.47,0.18,
296.1799157,-46.37888444,F5 V                      ,F5,45,5,     ,    , ,0.464,      ,         ,
296.1867815,18.72849477,F8                        ,F8,48, ,-0.14,3.7, ,0.531,2.31,3.29,
296.199228,16.81516035,A0                        ,A0,30, ,     ,    , ,0.071,      ,         ,
296.2030652,29.26469356,F2I                       ,F2,42,1,     ,    , ,0.65,      ,         ,HR 7518
296.2043343,40.71680447,M3.5III                   ,M3,73,3,     ,    , ,1.561,-5.44,522.74,HR 7523
296.2103219,21.45092311,K0                        ,K0,60, ,     ,    , ,0.923,      ,         ,
296.2110799,50.78274641,K5                        ,K5,65, ,     ,    , ,1.371,      ,         ,
296.2118858,10.95193089,K0                        ,K0,60, ,     ,    , ,1.163,      ,         ,
296.2154406,45.99667365,A0                        ,A0,30, ,     ,    , ,0.248,1.49,10.34,
296.2183853,-52.33633647,K2.5V k                 ,K2,62,5,-0.02,    , ,0.99,4.05,0.35,
296.2262434,-10.57287752,M1/2 III                  ,M1,71,3,     ,    , ,1.683,-3.81,         ,
296.2266556,-31.14589349,F2 V                      ,F2,42,5,     ,    , ,0.482,      ,         ,
296.2272104,-80.08861912,M2III                     ,M2,72,3,     ,    , ,1.752,      ,         ,
296.2342162,-40.23665626,K2/3 V                  ,K2,62,5,     ,    , ,1.509,4.36,0.53,
296.2353329,-33.25457623,M2 III                    ,M2,72,3,     ,    , ,1.874,      ,         ,
296.2366061,10.77514442,B3IV-V                    ,B3,23,4,     ,    , ,      ,      ,         ,
296.2367609,13.04657277,K2                        ,K2,62, ,     ,    , ,1.068,      ,         ,
296.2379941,59.71327486,G0                        ,G0,50, ,     ,    , ,0.456,2.56,2.53,
296.2436577,45.13080969,A0IV                      ,A0,30,4,     ,    , ,-0.002,      ,199.64,18 Delta Cygni HR 7528
296.2443313,74.0627381,K0                        ,K0,60, ,     ,    , ,0.891,3.82,0.52,
296.243587,55.83923218,                          ,  ,, ,     ,    , ,      ,      ,         ,
296.2472682,51.59509321,                          ,  ,, ,     ,    , ,0.876,3.84,0.72,Wolf 1111
296.2479372,29.76212093,A0                        ,A0,30, ,     ,    , ,0.05,      ,         ,
296.2503125,55.84763239,M4III                     ,M4,74,3,     ,    , ,1.58,      ,         ,
296.2568903,-78.32192994,G6IV                      ,G6,56,4,0.21,8.3, ,0.784,2.11,3.13,
296.2607656,15.84170198,F2                        ,F2,42, ,     ,    , ,0.416,      ,         ,
296.261657,-8.635801063,F2 V                      ,F2,42,5,     ,    , ,0.512,      ,         ,
296.2633126,29.32866061,K3V                       ,K3,63,5,     ,    , ,0.775,4.51,0.21,
296.2649085,19.16444218,A2                        ,A2,32, ,     ,    , ,0.16,      ,         ,
296.2669704,-65.46732743,G2V                       ,G2,52,5,     ,    , ,0.708,2.46,2.18,
296.2689108,0.751197382,A5 V                      ,A5,35,5,     ,    , ,0.374,1.14,12.73,
296.2712766,46.61938935,G5                        ,G5,55, ,     ,    , ,1.04,      ,         ,
296.2749973,16.28579362,B9                        ,B9,29, ,     ,    , ,0.023,      ,         ,
296.2755568,-30.23062646,K0 III                    ,K0,60,3,     ,    , ,1.111,      ,         ,
296.2768589,-47.69766713,G8 III                    ,G8,58,3,     ,    , ,0.934,      ,         ,
296.2901164,-12.72627029,K0 III                    ,K0,60,3,     ,    , ,1.22,      ,         ,
296.2902559,-3.035498197,K1 IIICNIV/V              ,K1,61,3,     ,    , ,1.252,      ,         ,
296.2909167,4.906214688,M3III                     ,M3,73,3,     ,    , ,1.51,      ,         ,
296.2928719,-70.01653899,F6V                       ,F6,46,5,-0.07,3.7, ,0.536,2.16,3.24,
296.2966717,-25.37621844,K3 III                    ,K3,63,3,     ,    , ,1.376,      ,         ,
296.3000813,-0.675452109,B8 III/IV                 ,B8,28,3,     ,    , ,0.001,      ,         ,
296.3016958,2.911976449,G6 V                      ,G6,56,5,     ,    , ,1.051,-0.17,13.2,
296.3026422,24.05113373,O9.7II                    ,O9,19,2,     ,    , ,0.668,      ,         ,
296.3039183,-15.11011371,K1 IIICNII                ,K1,61,3,     ,    , ,1.412,      ,         ,
296.304132,-29.11354689,F2 V                      ,F2,42,5,     ,    , ,0.59,      ,         ,
296.3089272,-17.49084959,K2 III                    ,K2,62,3,-2.45,    , ,0.971,      ,         ,
296.3100605,20.85636572,A0                        ,A0,30, ,     ,    , ,0.028,      ,         ,
296.3107433,-42.67072323,K0                        ,K0,60, ,     ,    , ,0.78,      ,         ,
296.3121697,-27.39635706,K5 III                    ,K5,65,3,     ,    , ,1.716,      ,         ,
296.315472,-68.38923457,K2/4                      ,K2,62, ,-0.04,    , ,1.049,4,0.25,
296.3156449,-4.522881986,G8 IV                     ,G8,58,4,     ,    , ,1.132,      ,         ,
296.3182859,25.90917681,K0II-III                  ,K0,60,2,     ,    , ,1.047,      ,         ,
296.3185361,53.0692312,A0                        ,A0,30, ,     ,    , ,0.185,1.31,18.07,
296.3183251,-48.07011079,F5 V                      ,F5,45,5,     ,    , ,0.474,1.96,4.43,
296.3215146,31.42409649,B5                        ,B5,25, ,     ,    , ,-0.063,      ,         ,
296.3255395,-77.73978852,G5V                       ,G5,55,5,     ,    , ,0.681,3.4,1,
296.3266894,19.85578609,B5                        ,B5,25, ,     ,    , ,0.14,      ,         ,
296.343499,-42.10017931,K0 V                      ,K0,60,5,-0.12,    , ,0.856,3.51,0.74,
296.3444699,7.913210641,F7V                       ,F7,47,5,-0.03,2.7, ,0.483,2.52,2.95,
296.3445472,-1.499018868,K2 III                    ,K2,62,3,     ,    , ,1.356,      ,         ,
296.3497729,33.76761824,F8                        ,F8,48, ,     ,    , ,0.485,      ,         ,
296.3514524,23.94288218,B9Ie                      ,B9,29,1,     ,    , ,0.907,      ,         ,
296.3513959,-30.903002,A1 V                      ,A1,31,5,     ,    , ,0.123,-1.04,142.64,
296.3600436,25.91558613,F0                        ,F0,40, ,     ,    , ,0.311,      ,         ,
296.3604377,-0.145407726,A2 II                     ,A2,32,2,     ,    , ,0.356,      ,         ,
296.3607101,-50.86800563,G3 V                      ,G3,53,5,0.16,8.8, ,0.697,2.38,2.4,
296.3611266,-32.63416366,F5/6 V                    ,F5,45,5,     ,    , ,0.558,      ,         ,
296.3638133,-3.151843113,B2 Ib/II                  ,B2,22,1,     ,    , ,-0.006,      ,         ,
296.3682355,-7.019546626,F8 IV/V                   ,F8,48,4,0.13,2.5, ,0.549,1.61,6.2,
296.3710911,-13.26228445,K1 III                    ,K1,61,3,     ,    , ,1.31,      ,         ,
296.3718906,-38.47613519,F5 V                      ,F5,45,5,     ,    , ,0.39,      ,         ,
296.376421,50.77273354,K1                        ,K1,61, ,0.13,    , ,0.884,3.78,0.54,Wolf 1112
296.3775935,26.03107367,A2                        ,A2,32, ,     ,    , ,0.226,      ,         ,
296.3824963,-49.99745379,K0III                     ,K0,60,3,     ,    , ,0.999,-0.28,16.39,
296.3897349,33.60197233,K3   V                    ,K3,63,5,     ,    , ,1,3.62,0.46,Gliese 765.4
296.3983582,30.01021892,K5V                       ,K5,65,5,0.06,    , ,1.175,4.65,0.13,
296.4008804,-63.04180528,G6III                     ,G6,56,3,     ,    , ,0.968,      ,         ,
296.4082051,44.96374237,B0.2IV                    ,B0,20,4,     ,    , ,-0.129,      ,         ,
296.4127711,-70.62671683,G8III                     ,G8,58,3,     ,    , ,0.947,-2.23,106.46,
296.4150814,-50.81490413,K4 III                    ,K4,64,3,     ,    , ,1.483,      ,         ,
296.415236,36.09102575,B9.5III                   ,B9,29,3,     ,    , ,-0.049,      ,         ,HR 7529
296.4164486,7.613158747,A7V                       ,A7,37,5,-0.05,    , ,0.18,1.81,10.53,49 Upsilon Aquilae HR 7519
296.4170633,16.85923766,G0                        ,G0,50, ,     ,    , ,0.587,      ,         ,
296.4193327,25.1266781,O8.5II:f                ,O8,18,2,     ,    , ,1.207,      ,         ,
296.4194411,36.08868277,A0Vnp                     ,A0,30,5,     ,    , ,0.024,      ,         ,
296.4219793,-0.696644002,K0/1 III                  ,K0,60,3,     ,    , ,0.996,-0.03,15.62,
296.4236406,32.71369485,K2                        ,K2,62, ,     ,    , ,1.263,      ,         ,
296.428775,30.2571203,M4III                     ,M4,74,3,     ,    , ,1.7,      ,         ,
296.4358078,39.50366071,G5                        ,G5,55, ,0.05,3.8, ,0.561,2.4,3,
296.4409894,37.45257203,A2                        ,A2,32, ,     ,    , ,0.209,      ,         ,
296.4416222,-52.61600421,G8                        ,G8,58, ,     ,    , ,0.976,      ,         ,
296.4531688,40.55523642,B7IV                      ,B7,27,4,     ,    , ,-0.07,      ,         ,
296.4572828,32.38713285,M0                        ,M0,70, ,     ,    , ,      ,6.5,         ,Gliese 4122
296.4639823,35.01275143,G9III CN1                ,G9,59,3,     ,    , ,1.07,      ,74.59,HR 7530
296.4649251,46.48553902,K2                        ,K2,62, ,     ,    , ,1.413,-3.34,193.04,
